ticker,company_name,sector,industry,fiscal_year_end,COGS_to_Revenue,Gross_Margin,SGA_to_Revenue,Net_Margin,Cash_to_Assets,Receivables_to_Assets,Inventory_to_Assets,PPE_to_Assets,Debt_to_Assets,Equity_to_Assets
NVDA,NVIDIA Corp,Technology,Semiconductors,2024-01-31,0.27282426709563046,0.7271757329043695,0.043563901382095135,0.4884934834706674,0.11075949367088607,0.15212694741966895,0.08036148977604674,0.0800267770204479,0.16820837390457644,0.653876582278481
NVDA,NVIDIA Corp,Technology,Semiconductors,2023-01-31,0.4307110550900867,0.5692889449099132,0.09045747757099429,0.16193371394676356,0.08229323490845515,0.09292894954106162,0.1252731776018649,0.11764848720314701,0.29214219804769076,0.5366665047836433
AVGO,Broadcom Inc,Technology,Semiconductors,2025-10-31,0.3223347472881807,0.6776652527118193,0.06591325308748258,0.3619828760154648,0.0945573141935333,0.07101442498772591,0.013267715614990766,0.01478736586164169,0.3807074556379024,0.4751361840413345
AVGO,Broadcom Inc,Technology,Semiconductors,2024-10-31,0.3696630084926513,0.6303369915073487,0.09615310039942607,0.11430177996664986,0.05643394005252196,0.03822632738688159,0.010625132059524887,0.015219294273899,0.40789640496241963,0.40857254972984397
AVGO,Broadcom Inc,Technology,Semiconductors,2023-10-31,0.3107010245958849,0.6892989754041151,0.044445685250844524,0.39314330383316115,0.19474067059194905,0.05013656139772992,0.02604960129561768,0.029563140774900153,0.5384087509092655,0.32922962901964015
AVGO,Broadcom Inc,Technology,Semiconductors,2022-10-31,0.3345480830045478,0.6654519169954523,0.041622744932686806,0.3462036562961178,0.16950402053270353,0.04038280386080356,0.026280222255593934,0.030348537181394967,0.5394612895739191,0.31002471023495204
ADBE,Adobe Inc,Technology,Application Software,2025-11-30,0.10732466658252346,0.8926753334174765,0.3391392149438344,0.2999705498758888,0.18412666124220234,0.0794684024952536,0.06208107489121307,0.07407784106319501,0.22538649308380798,0.39405343097369133
ADBE,Adobe Inc,Technology,Application Software,2024-11-30,0.10964891885607998,0.89035108114392,0.3391304347826087,0.25854452452917925,0.25183592457823356,0.06854118425405227,0.06208107489121307,0.07333774396295072,0.20033079722130334,0.46658948064836253
ADBE,Adobe Inc,Technology,Application Software,2023-11-30,0.12128394044000206,0.878716059559998,0.34849811942913084,0.2796640733680251,0.2397998589610128,0.07468350179656805,0.06208107489121307,0.08019073843984016,0.13700930185701332,0.5546861882534672
ADBE,Adobe Inc,Technology,Application Software,2022-11-30,0.1229694422356015,0.8770305577643985,0.35141429058275586,0.27013518118823127,0.15593594699061292,0.07601693355420577,0.06208107489121307,0.08521995214430333,0.17055034051168783,0.5172464568378428
